iter	Passed	Remaining
1633	3615	6341
1634	3617	6338
1635	3619	6336
1636	3621	6333
1637	3622	6329
1638	3624	6327
1639	3626	6323
1640	3628	6321
1641	3630	6318
1642	3632	6316
1643	3634	6313
1644	3635	6310
1645	3638	6308
1646	3640	6306
1647	3642	6303
1648	3644	6300
1649	3646	6298
1650	3648	6295
1651	3649	6292
1652	3651	6289
1653	3653	6286
1654	3655	6284
1655	3657	6281
1656	3659	6278
1657	3660	6275
1658	3663	6272
1659	3664	6269
1660	3666	6267
1661	3668	6264
1662	3670	6262
1663	3672	6259
1664	3674	6256
1665	3675	6253
1666	3677	6250
1667	3680	6248
1668	3682	6246
1669	3684	6243
1670	3686	6241
1671	3688	6238
1672	3689	6234
1673	3691	6231
1674	3693	6229
1675	3695	6227
1676	3697	6224
1677	3699	6221
1678	3701	6219
1679	3703	6216
1680	3705	6214
1681	3706	6210
1682	3708	6207
1683	3711	6205
1684	3713	6203
1685	3715	6200
1686	3716	6197
1687	3718	6194
1688	3720	6191
1689	3722	6189
1690	3724	6186
1691	3726	6183
1692	3727	6180
1693	3729	6177
1694	3731	6175
1695	3733	6172
1696	3734	6169
1697	3737	6166
1698	3738	6163
1699	3740	6161
1700	3743	6160
1701	3745	6157
1702	3747	6155
1703	3750	6153
1704	3752	6151
1705	3753	6147
1706	3755	6145
1707	3758	6143
